06MAGNA,
08OCTAVA,
11BIT,
14ZACH,
4FUNMEDIA,
3RGAMES,
ABCDATA,
ABMSOLID,
AATHOLD,
ABADONRE,
ABPL,
ACAUTOGAZ,
ACE,
ACTION,
ADIUVO,
ADVADIS,
AGORA,
AGROTON,
ALCHEMIA,
ADVGRUPA,
AIGAMES,
AILLERON,
ALMA,
AIRWAY,
ALTERCO,
AGROWILL,
ALIOR,
AMBRA,
ALTA,
AMICA,
ALLEGRO,
ALTUSTFI,
AMPLI,
ALUMETAL,
AMREST,
ALTUS,
ANTI,
APATOR,
APLISENS,
ARCTIC,
ARCUS,
ARMATURA,
ANSWEAR,
APSENERGY,
ARTERIA,
ARCHICOM,
ASBIS,
ASSECOBS,
ASSECOPOL,
ASSECOSEE,
ARTIFEX,
ASSECOSLO,
ASTARTA,
APLITT,
ASMGROUP,
ATLANTAPL,
ATLANTIS,
ATLASEST,
ATM,
ATMGRUPA,
ATAL,
ATENDE,
ATREM,
AZOTYTARNOW,
B3SYSTEM,
BAKALLAND,
BANKBPH,
ATMSI,
BANKIER.PL,
AVIASG,
BARLINEK,
AVIAAML,
AWBUD,
BBICAPNFI,
AUGA,
BBIDEVNFI,
AUTOPARTN,
BBIZENNFI,
BAHOLDING,
BEDZIN,
BBIDEV,
BEEFSAN,
BALTONA,
BEST,
AURUM,
BENEFIT,
BERLING,
BETACOM,
BIOTON,
BIPROMET,
BLACKLION,
BIGCHEESE,
BMPAG,
BIK,
BIOCELTIX,
BOGDANKA,
BIOMAXIMA,
BIOMEDLUB,
BOMI,
BORYSZEW,
BGZ,
BIOPLANET,
BNPPPL,
BOS,
BACD,
BRE,
BGZBNPP,
BOOMBIT,
BUDIMEX,
BUDOPOL,
BUDVARCEN,
BNPPL,
BOWIM,
BUMECH,
BRASTER,
BYTOM,
BZWBK,
BRAND24,
BSCDRUK,
CALATRAVA,
CAMMEDIA,
CAPITAL,
BRIJU,
CCC,
CASHFLOW,
CCENERGY,
CDPROJEKT,
CAPTORTX,
CCIINT,
CDRL,
CASPAR,
CAVATINA,
CEDC,
CELTIC,
BUWOG,
CENTKLIMA,
CEZ,
CENTROZAP,
CFI,
CERSANIT,
CIECH,
CIGAMES,
CHEMOS,
CITYSERV,
CLNPHARMA,
CITYINTER,
CNT,
COALENERG,
COGNOR,
BZWBK2,
COMARCH,
COMP,
CDRED,
COMPLEX,
COMPERIA,
CORMAY,
CPENERGIA,
CPGROUP,
CYFRPLSAT,
DEBICA,
CZTOREBKA,
DECORA,
DATAWALK,
DELKO,
CUBEITG,
DGA,
COLIAN,
COMPREMUM,
DOMDEV,
CREEPYJAR,
DEKPOL,
DRAGOWSKI,
DREWEX,
DEVELIA,
DROP,
CREOTECH,
DADELO,
DROZAPOL,
DIGITREE,
DUDA,
DINOPL,
DZPOLSKA,
ECARD,
DSS,
ECHO,
EFEKT,
EFH,
DMWDM,
EDINVEST,
ELBUDOWA,
ELEKTROTI,
EKOEXPORT,
ELKOP,
ELSTAROIL,
DIGITANET,
ELZAB,
EKO,
ELEMENTAL,
EMCINSMED,
EMPERIA,
ENAP,
DUON,
ENEA,
ENERGOINS,
DTP,
ENERGOPLD,
ENELMED,
ENERGOPN,
ENERGA,
ENERGOPOL,
ERBUD,
EKANCELAR,
ENTER,
ERG,
ERGIS,
ESSYSTEM,
ESOTIQ,
EUROCASH,
ESTAR,
EUROFAKTR,
EUCO,
EUROMARK,
EUROTEL,
EUROHOLD,
FAM,
FAMUR,
FARMACOL,
FASING,
FASTFIN,
FERRUM,
FEERUM,
FON,
FENGHUA,
FORTE,
FERRO,
FORTISPL,
FOTA,
EVEREST,
FMG,
GANT,
GASTELZUR,
GETIN,
GAMEOPS,
GETINOBLE,
GAMFACTOR,
GFPREMIUM,
EUIMPLANT,
GETBACK,
GINOROSSI,
GRAAL,
GRAJEWO,
GLCOSMED,
GROCLIN,
EXILLON,
FORTUNA,
GOBARTO,
GTC,
GPW,
HANDLOWY,
HARDEX,
GIGROUP,
GRODNO,
HAWE,
GRUPAAZOTY,
HBPOLSKA,
HELIO,
HERMAN,
GREENX,
HARPER,
HTLSTREFA,
HUTMEN,
HERKULES,
HYDROTOR,
HMINWEST,
HYGIENIKA,
GORENJE,
GRUPRACUJ,
HOLLYWOOD,
HYPERION,
GPRE,
HUBSTYLE,
IDMSA,
IGROUP,
GRAVITON,
I2DEV,
IMMOEAST,
IALBGR,
IMPEL,
IBSM,
IMPEXMET,
INDYKPOL,
GLOBALNRG,
IFCAPITAL,
INGBSK,
GEKOPLAST,
HUUUGE-S144,
IFIRMA,
INSTAL,
IFSA,
INSTALKRK,
GREENECO,
IIAAV,
INTEGERPL,
GLOBCITYHD,
GREMISLTN,
HUUUGE,
IMCOMPANY,
INTERCARS,
IDEABANK,
IMMOBILE,
INTERFERI,
GREMMEDIA,
INTERSPPL,
IMPERA,
INTROL,
IMS,
INVESTCON,
INC,
IPOPEMA,
INDYGO,
IRENA,
IVMX,
IMPERIO,
INPRO,
IZNS,
IDEON,
IZOLACJA,
INTAKUS,
INTERAOLT,
JAGO,
INTERBUD,
JUPITER,
JUTRZENKA,
IDEATFI,
JWCONSTR,
K2INTERNT,
KABLE,
INVISTA,
KAREN,
KERNEL,
ITMTRADE,
KETY,
IZOBLOK,
KGHM,
KOELNER,
IZOSTAL,
KOFOLA,
INDATA,
JJAUTO,
KOGENERA,
JSW,
KOLASTYNA,
KOMPAP,
JWWINVEST,
KOMPUTRON,
IQP,
KONSSTALI,
KANIA,
KOPEX,
KBDOM,
KPPD,
K2HOLDING,
KCI,
KRAKCHEM,
KDMSHIPNG,
KREDYTB,
JHMDEV,
KREDYTIN,
KREZUS,
KRUSZWICA,
KGL,
LCCORP,
KINOPOL,
LENA,
LENTEX,
LOTOS,
LPP,
LSISOFT,
INPOST,
LUBAWA,
KOV,
KREC,
MAGELLAN,
INVENTUM,
MAKARONPL,
KRKA,
MAKRUM,
KRUK,
MARVIPOL,
MCI,
KRVITAMIN,
MCLOGIC,
KSGAGRO,
MEDIATEL,
LABOPRINT,
MENNICA,
LARK,
MERCOR,
LARQ,
MEWA,
MIDAS,
MIESZKO,
LIBET,
MILLENNIUM,
LIVECHAT,
MIRBUD,
LESS,
LOKUM,
LSTCAPITA,
MISPOL,
MIT,
MMPPL,
MNI,
KERDOS,
MOJ,
MABION,
MOL,
MONNARI,
MANGATA,
MOSTALEXP,
MOSTALPLC,
MANYDEV,
MASTERPHA,
MOSTALWAR,
MAXCOM,
MOSTALZAB,
MBANK,
MUZA,
MBWS,
MWTRADE,
NAFTA,
MDIENERGIA,
MILKILAND,
NEPENTES,
MEDIACAP,
NETIA,
KOFOL,
MEDICALG,
NETMEDIA,
MEDINICE,
NEUCA,
MEGARON,
NEWWORLDR,
LIBRA,
NFIEMF,
MERCATOR,
NORDEABP,
NORTCOAST,
MEXPOLSKA,
NOVITA,
MFO,
NOVITUS,
NOWAGALA,
NTTSYSTEM,
MIRACULUM,
ODLEWNIE,
OLYMPIC,
MLPGROUP,
ONE2ONE,
MLSYSTEM,
OPONEO.PL,
MOBRUK,
OPTIMUS,
OPTOPOL,
ORBIS,
ORCOGROUP,
ORZBIALY,
MOLECURE,
ORZEL,
PAGED,
PAMAPOL,
PANOVA,
NANOGROUP,
PATENTUS,
PBG,
PCGUARD,
NEWAG,
PEGAS,
NEXITY,
PEKAES,
NOVATURAS,
PEKAO,
NOVAVISGR,
PEMUG,
MORIZON,
OPTEAM,
PEP,
PEPEES,
PERMEDIA,
OAT,
PETROLINV,
PGE,
OEX,
PGF,
ONDE,
OPENFIN,
OTMUCHOW,
PGNIG,
NEWWORLDN,
PKNORLEN,
PKOBP,
ORANGEPL,
PLASTBOX,
PLAZACNTR,
POINTGROUP,
NOVAKBM,
OTLOG,
PCCINTER,
POLAQUA,
POLCOLORIT,
OVOSTAR,
POLICE,
NOKAUT,
POLIMEXMS,
POLJADLO,
POLLENAE,
MSXRESOUR,
POLNA,
PBKM,
POLNORD,
PBSFINANSE,
POLREST,
PCCEXOL,
PONAR,
PCCROKITA,
POZBUD,
PCFGROUP,
PRIMAMODA,
ORION,
PROCAD,
PEIXIN,
PEKABEX,
PROCHEM,
PROCHNIK,
PROJPRZEM,
PEMANAGER,
PEPCO,
PRONOX,
PROSPER,
PROTEKTOR,
PGFGROUP,
PULAWY,
PBOANIOLA,
PWRMEDIA,
PGO,
PHARMENA,
QUANTUM,
PGSSOFT,
PHN,
QUMAKSEK,
PHOTON,
RADPOL,
POLMED,
RAFAKO,
RAFAMET,
PKPCARGO,
RAINBOW,
PELION,
PLAYWAY,
REDAN,
REINHOLD,
PLATYNINW,
PMPG,
PRAGMAINK,
RELPOL,
PLAY,
REMAK,
RESBUD,
POLTREG,
RONSON,
POLWAX,
ROPCZYCE,
RUBICON,
PGODLEW,
RUCH,
PRIMETECH,
SANOK,
PTI,
SANWIL,
SECOGROUP,
PCM,
PRAGMAFA,
SEKO,
PZU,
SELENAFM,
PRAIRIE,
PUNKPIRAT,
SFINKS,
PURE,
SILVANO,
SIMPLE,
SKOK,
PROVIDENT,
QUERCUS,
SKOTAN,
R22,
SKYEUROPE,
PFLEIDER,
RANKPROGR,
SKYLINE,
SNIEZKA,
SOBIESKI,
SONEL,
RAWLPLUG,
STALEXP,
STALPROD,
PRESCO,
REGNON,
ROBYG,
STALPROFI,
STAPORKOW,
REINO,
SUWARY,
SWARZEDZ,
SWIECIE,
SADOVAYA,
SWISSMED,
SYGNITY,
RYVU,
SYNTHOS,
TALEX,
PPG,
TECHMEX,
SANPL,
TELL,
SANTANDER,
TERESA,
TETA,
SATIS,
TFONE,
TIM,
TPSA,
TRAKCJA,
SELVITA,
TRAVELPL,
SERINUS,
TRION,
SESCOM,
TRITON,
TUEUROPA,
REDWOOD,
SHOPER,
TUP,
SILVAIR-REGS,
TVN,
ULMA,
SIMFABRIC,
UNIBEP,
SKARBIEC,
UNICREDIT,
QUMAK,
UNIMA,
VARIANT,
SLEEPZAG,
VINDEXUS,
VISTULA,
SOHODEV,
WANDALEX,
SOLAR,
TAURONPE,
WARFAMA,
POLYMETAL,
WARIMPEX,
SOPHARMA,
WASKO,
SPYROSOFT,
WAWEL,
ROVESE,
TESGAS,
WIELTON,
SCOPAK,
WIKANA,
WILBO,
WISTIL,
STARHEDGE,
WOJAS,
STSHOLDING,
TRANSPOL,
WOLAINFO,
SUNEX,
WSIP,
YAWAL,
SETANTA,
ZASTAL,
SYNEKTIK,
ZEG,
PSG,
ZELMER,
TARCZYNSKI,
ZETKAMA,
TATRY,
ZNTKLAPY,
ZPUE,
TBULL,
ZREMB,
SANPL2,
TERMOREX,
ZYWIEC,
SARE,
TALANX,
TORPOL,
TOWERINVT,
TOYA,
SKYSTONE,
SMT,
TSGAMES,
TXM,
STELMET,
ULTGAMES,
UNIMOT,
URSUS,
VENTUREIN,
VERCOM,
VIGOSYS,
ZUE,
VISTAL,
VIVID,
VOTUM,
VOXEL,
VRG,
WADEX,
WINVEST,
VANTAGE,
WIRTUALNA,
WITTCHEN,
WESTAISIC,
XTB,
XTPL,
YOLO,
ZAMET,
ZEPAK,
TELEPOLSKA,
WORKSERV,
TOPMEDICA,
UNIWHEELS,
WDMCP,
WDX,
GREMINWES,
GETBANK,
BBIZEN,
GLOBALNGR,
XTRADEBDM,
WINDMOBIL,
