,Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date,Year,Liczba akcji,WK,Aktywa obrotowe,Zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Przychody ze sprzedaży na akcję,Zysk na akcję,Zysk operacyjny na akcję,Enterprise Value na akcję,EV / P,EV / EBIT,EV / EBITDA,C/ZO,C/WK,Cena / WK Grahama,C/P,C/Z,Close_pct,Open_pct,Max_pct,Min_pct
15,06MAGNA,PLN,2.9,2.98,2.82,2.955,22.8,14-09-2022,2022/Q3,13921975.0,2.01,15195.0,230.0,5397.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,29.55,1.4701492537313434,0.0005251466145370535,6.715909090909091,26.863636363636363,5.913978494623651,5.454545454545445,3.114186851211076,3.4862385321100753
16,06MAGNA,PLN,2.945,3.06,2.9,2.99,48.02,13-09-2022,2022/Q3,13921975.0,2.01,15195.0,230.0,5397.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,29.900000000000002,1.4875621890547266,0.000531366625199929,6.795454545454546,27.181818181818183,1.1844331641285955,1.551724137931032,2.684563758389258,2.8368794326241176
17,06MAGNA,PLN,2.95,2.95,2.84,2.945,11.03,12-09-2022,2022/Q3,13921975.0,2.01,15195.0,230.0,5397.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,29.449999999999996,1.4651741293532339,0.0005233694686333748,6.6931818181818175,26.77272727272727,-1.5050167224080369,0.1697792869270076,-3.5947712418300637,-2.0689655172413834
18,06MAGNA,PLN,3.0,3.0,2.805,2.865,10.52,15-09-2022,2022/Q3,13921975.0,2.01,15195.0,230.0,5397.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,28.650000000000002,1.4253731343283584,0.0005091523014039453,6.511363636363637,26.045454545454547,-2.716468590831911,1.6949152542372836,1.6949152542372836,-1.232394366197176
19,06MAGNA,PLN,1.12,1.13,1.1,1.11,214.9,05-01-2010,2010/Q1,8673714.0,5.18,23043.0,9299.0,57690.0,18.69,-0.64,-0.08,14.46,0.77,-173.0,10.82,-13.875000000000002,0.21428571428571433,1.6569884607920705e-05,0.0593900481540931,-1.7343750000000002,-61.25654450261779,-62.66666666666667,-62.33333333333333,-60.7843137254902
20,06MAGNA,PLN,0.78,0.8,0.77,0.79,99.43,04-01-2011,2011/Q1,8673714.0,2.48,53890.0,10116.0,66584.0,10.36,-2.87,-3.78,12.45,1.2,-3.29,-4.55,-0.208994708994709,0.3185483870967742,1.029986962190352e-05,0.07625482625482627,-0.27526132404181186,-28.828828828828833,-30.35714285714286,-29.20353982300884,-30.000000000000004
21,06MAGNA,PLN,0.35,0.35,0.34,0.35,54.28,03-01-2012,2012/Q1,8673714.0,2.46,93652.0,595.0,96754.0,8.49,0.09,0.06,8.99,1.06,154.12,12.26,5.833333333333333,0.14227642276422764,3.5953117135255625e-06,0.041224970553592456,3.888888888888889,-55.696202531645575,-55.12820512820513,-56.25,-55.84415584415584
22,06MAGNA,PLN,2.855,3.0,2.8,2.8,177.41,04-01-2022,2022/Q1,13921975.0,2.01,15195.0,230.0,5397.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,27.999999999999996,1.3930348258706469,0.0004976008530300337,6.363636363636363,25.454545454545453,700.0,715.7142857142858,757.1428571428571,723.5294117647059
23,06MAGNA,PLN,1.64,1.7,1.6,1.65,202.36,05-01-2021,2021/Q1,13921975.0,1.75,15904.0,227.0,5930.0,0.56,0.05,0.16,2.83,5.03,17.71,12.7,10.3125,0.9428571428571428,0.00026798765632613284,2.946428571428571,32.99999999999999,-41.07142857142857,-42.5569176882662,-43.333333333333336,-42.85714285714285
24,06MAGNA,PLN,0.22,0.23,0.22,0.22,11.09,03-01-2013,2013/Q1,13921975.0,0.3,56183.0,632.0,2430.0,2.66,-0.35,-0.18,3.45,1.3,-19.01,12.27,-1.2222222222222223,0.7333333333333334,7.184846505551928e-05,0.08270676691729323,-0.6285714285714287,-86.66666666666667,-86.58536585365853,-86.47058823529412,-86.25
