Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date
PULAWY,PLN,78.1000,80.0000,78.1000,79.6500,1 014.08,04-01-2010
RAFAMET,PLN,17.4000,17.6000,17.4000,17.6000,19.65,04-01-2010
RAINBOW,PLN,4.6800,4.9900,4.6800,4.9900,148.18,04-01-2010
REDAN,PLN,2.6900,2.6900,2.6000,2.6000,1.99,04-01-2010
REINHOLD,PLN,7.9000,7.9000,7.5100,7.8900,1.91,04-01-2010
RELPOL,PLN,4.0900,4.1200,4.0300,4.1200,35.12,04-01-2010
REMAK,PLN,26.2000,26.8000,25.2500,26.1900,211.14,04-01-2010
RESBUD,PLN,0.0000,0.0000,0.0000,14.0000,0.00,04-01-2010
RONSON,PLN,1.7500,1.7500,1.7000,1.7200,64.66,04-01-2010
ROPCZYCE,PLN,16.8100,17.4900,16.0100,17.4000,208.17,04-01-2010
SECOGROUP,PLN,19.3000,19.4000,19.3000,19.4000,19.04,04-01-2010
SEKO,PLN,9.0000,9.1300,8.8600,9.0000,24.08,04-01-2010
SELENAFM,PLN,16.9800,16.9800,16.2000,16.8300,213.48,04-01-2010
SFINKS,PLN,11.3000,11.3000,11.0000,11.2000,29.25,04-01-2010
SILVANO,PLN,3.9700,3.9700,3.6500,3.8500,52.35,04-01-2010
SNIEZKA,PLN,40.7600,40.7600,40.1000,40.1000,21.23,04-01-2010
SOBIESKI,PLN,143.1000,147.5000,140.0000,145.0000,58.60,04-01-2010
SONEL,PLN,5.6700,5.6700,5.6000,5.6000,3.57,04-01-2010
STALEXP,PLN,1.8400,1.8800,1.8400,1.8700,905.38,04-01-2010
SWIECIE,PLN,76.0000,79.0000,76.0000,79.0000,38.39,04-01-2010
SWISSMED,PLN,2.0400,2.0900,1.9100,2.0500,343.73,04-01-2010
SYGNITY,PLN,14.4000,14.9000,14.3000,14.3500,4 269.34,04-01-2010
SYNTHOS,PLN,1.1500,1.1900,1.1500,1.1900,1 947.69,04-01-2010
TFONE,PLN,6.6100,6.8900,6.3500,6.8900,433.42,04-01-2010
TIM,PLN,9.2600,9.5000,9.2600,9.5000,47.94,04-01-2010
TPSA,PLN,16.0000,16.1000,15.9000,16.0100,54 600.41,04-01-2010
TRAKCJA,PLN,4.1200,4.1200,4.0700,4.0900,1 179.38,04-01-2010
TRAVELPL,PLN,20.9500,21.0000,20.3000,20.3000,24.85,04-01-2010
TRION,PLN,0.8000,0.8300,0.7800,0.8100,596.57,04-01-2010
TRITON,PLN,3.5500,3.8600,3.5500,3.6800,31.72,04-01-2010
TUEUROPA,PLN,0.0000,0.0000,0.0000,125.0000,0.00,04-01-2010
TUP,PLN,7.4900,7.7600,7.2100,7.4300,106.26,04-01-2010
