Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date
HBPOLSKA,PLN,3.4600,3.6700,3.4600,3.6300,3 484.89,04-01-2010
HELIO,PLN,10.7000,11.2000,10.2100,10.2100,26.58,04-01-2010
HERMAN,PLN,0.0000,0.0000,0.0000,1.2400,0.00,04-01-2010
HTLSTREFA,PLN,13.5500,13.6400,13.5500,13.6400,317.87,04-01-2010
HUTMEN,PLN,4.8600,4.9300,4.7200,4.9300,386.00,04-01-2010
HYDROTOR,PLN,32.7000,33.7000,32.0000,32.0000,157.11,04-01-2010
HYGIENIKA,PLN,2.0200,2.0200,1.9400,2.0200,138.03,04-01-2010
HYPERION,PLN,6.7500,6.9100,6.6200,6.8900,47.96,04-01-2010
IDMSA,PLN,2.4000,2.5400,2.3900,2.5300,8 604.33,04-01-2010
IGROUP,PLN,1.5400,1.5700,1.4300,1.4700,2 106.60,04-01-2010
IMMOEAST,PLN,16.0000,16.5200,15.8100,16.5000,11 369.18,04-01-2010
IMPEL,PLN,21.8700,21.9000,21.5500,21.9000,102.05,04-01-2010
IMPEXMET,PLN,2.4800,2.5500,2.4400,2.5500,2 201.51,04-01-2010
INDYKPOL,PLN,51.5000,51.5000,49.5000,51.4000,27.19,04-01-2010
INGBSK,PLN,772.0000,780.0000,772.0000,774.0000,2 603.00,04-01-2010
INSTAL,PLN,1.9800,2.0100,1.9800,2.0100,4.17,04-01-2010
INSTALKRK,PLN,16.8000,17.2700,16.7000,17.0400,1 254.18,04-01-2010
INTEGERPL,PLN,44.2900,44.7600,43.0000,44.0000,143.22,04-01-2010
INTERCARS,PLN,78.2500,80.9500,78.2500,80.9500,20.23,04-01-2010
INTERFERI,PLN,5.1100,5.1100,5.0900,5.0900,16.11,04-01-2010
INTERSPPL,PLN,5.1000,5.3000,5.1000,5.3000,7.32,04-01-2010
INTROL,PLN,4.8700,5.2800,4.5500,5.0200,1 277.58,04-01-2010
INVESTCON,PLN,1.9400,2.1300,1.9100,2.1000,2 222.26,04-01-2010
IPOPEMA,PLN,8.1000,8.1000,8.0900,8.0900,33.11,04-01-2010
IRENA,PLN,0.0000,4.0500,4.0500,4.0500,0.00,04-01-2010
IVMX,PLN,13.2100,13.7000,13.2100,13.6400,15.44,04-01-2010
IZNS,PLN,4.8000,4.8500,4.6600,4.7600,131.72,04-01-2010
IZOLACJA,PLN,1.8400,1.9200,1.8000,1.9200,292.78,04-01-2010
JAGO,PLN,1.9400,2.0500,1.9400,1.9900,398.10,04-01-2010
JUPITER,PLN,2.0300,2.0500,1.9800,2.0300,210.40,04-01-2010
JUTRZENKA,PLN,4.1200,4.2600,4.1200,4.2500,294.20,04-01-2010
JWCONSTR,PLN,11.5300,11.7800,11.5300,11.6500,284.12,04-01-2010
K2INTERNT,PLN,8.8800,8.8800,8.6100,8.6500,23.42,04-01-2010
KABLE,PLN,27.5100,28.4800,27.5100,28.4800,15.71,04-01-2010
KAREN,PLN,0.4400,0.4700,0.4300,0.4700,27.79,04-01-2010
KERNEL,PLN,40.3100,42.0000,40.3100,41.9900,17 544.87,04-01-2010
KETY,PLN,122.0000,123.0000,121.9000,122.5000,332.53,04-01-2010
KGHM,PLN,107.3000,109.0000,107.3000,108.5000,127 704.56,04-01-2010
KOELNER,PLN,14.8500,15.9500,14.7500,15.7800,375.03,04-01-2010
KOFOLA,PLN,40.5400,40.5400,40.5400,40.5400,0.08,04-01-2010
KOGENERA,PLN,78.6000,79.5000,77.4500,78.5000,611.90,04-01-2010
KOLASTYNA,PLN,0.5700,0.5700,0.5500,0.5600,171.41,04-01-2010
KOMPAP,PLN,5.0200,5.1600,4.9900,5.0800,286.06,04-01-2010
KOMPUTRON,PLN,10.6000,10.6000,10.4000,10.4000,20.47,04-01-2010
KONSSTALI,PLN,45.5000,45.5000,45.0000,45.3700,23.59,04-01-2010
KOPEX,PLN,25.7900,25.8800,25.5000,25.7900,1 814.78,04-01-2010
KPPD,PLN,22.0000,22.0000,22.0000,22.0000,0.44,04-01-2010
KRAKCHEM,PLN,3.0100,3.1300,3.0100,3.1300,0.13,04-01-2010
KREDYTB,PLN,11.8600,12.2000,11.8300,12.2000,761.25,04-01-2010
KREDYTIN,PLN,12.4500,12.4500,12.4500,12.4500,0.02,04-01-2010
KREZUS,PLN,1.4700,1.5100,1.4500,1.4900,978.95,04-01-2010
KRUSZWICA,PLN,59.5000,59.9000,58.8500,59.9000,24.45,04-01-2010
LCCORP,PLN,1.5800,1.6200,1.5700,1.6100,1 097.29,04-01-2010
LENA,PLN,2.0200,2.0500,2.0000,2.0500,128.94,04-01-2010
LENTEX,PLN,22.7000,23.3000,22.7000,22.9300,275.57,04-01-2010
LOTOS,PLN,31.8100,32.9800,31.8100,32.9500,18 614.96,04-01-2010
LPP,PLN,1 575.0000,1 640.0000,1 575.0000,1 640.0000,1 212.39,04-01-2010
LSISOFT,PLN,3.8800,3.8800,3.7200,3.8000,69.64,04-01-2010
LUBAWA,PLN,0.8800,0.8800,0.8600,0.8800,46.54,04-01-2010
MAGELLAN,PLN,38.5000,38.5000,36.0000,38.1000,2 389.43,04-01-2010
MAKARONPL,PLN,5.4900,5.4900,5.3400,5.3400,5.02,04-01-2010
